PatientID,Age,Gender,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome,PatientName,Email,SSN,Phone,Address,BirthDate,CreditCard
31,32,Male,1,103.6,72.1,20.5,50.3,37.8,1.81,1,Ryan Gonzalez,danielmorton@example.org,330-77-1666,001-587-706-3012x5824,"093 Christian Grove, Charlesmouth, GU 13434",1968-03-13,2233829849854630
32,78,Female,10,126.5,57.5,12.7,91.0,20.8,1.62,1,Mercedes Morris,garciasarah@example.com,523-88-3964,+1-621-289-2729,"USNS Coleman, FPO AA 05457",2002-07-03,377769413774303
33,42,Female,2,164.0,75.7,11.1,52.8,39.3,1.03,1,Jennifer Garrett,moorekenneth@example.com,137-10-2148,+1-311-430-4291x204,"USNS Hernandez, FPO AA 86940",1967-05-03,4689893669646059
34,64,Male,4,71.2,57.0,19.8,226.7,32.4,2.28,0,Michelle Hernandez,pmorris@example.org,846-77-3989,(853)582-5354,"5915 Brian Knolls Apt. 813, Douglasberg, WV 09872",1990-11-10,4773786174852
35,45,Male,2,146.6,103.7,45.3,73.1,25.9,2.43,0,Raymond Taylor,phillipsdebbie@example.org,409-48-2216,577-603-5355x6786,"70229 Shah Street, Port Matthewhaven, FL 06863",1955-07-21,30079596666295
36,69,Female,10,149.7,117.6,26.6,202.2,35.7,0.52,1,Bianca Bush,kathleen84@example.com,555-32-9089,5249291819,"81595 Steve Key, North Nicole, NH 85564",2000-03-31,4643403548048437721
37,47,Male,7,152.9,117.9,38.8,261.2,35.3,0.64,1,Tabitha Ortega,oturner@example.com,411-73-7709,6563967367,"0893 Frye Row Apt. 644, New Angelashire, OK 78471",1942-01-01,30175753121841
38,79,Male,11,101.5,110.6,46.7,152.7,23.7,1.36,1,Terry Lee,alexis15@example.com,773-49-6456,821.980.9972,"9959 Fletcher Burg, Thomasshire, FL 03237",1974-03-15,4332708417113015
39,62,Male,9,162.8,92.1,26.3,155.9,18.8,0.32,1,Johnny Lyons,jackson59@example.com,333-56-3336,557-730-8402x57122,"107 Kimberly Locks Suite 833, Catherineville, IA 76285",2003-02-17,4145746503329498
40,48,Female,7,81.9,99.1,17.7,135.3,29.7,1.15,0,Robert Jones,osmith@example.org,958-18-9549,001-346-416-7667x67230,"254 Robert Plains Suite 861, Alexanderhaven, VT 02066",1955-11-25,3522434913165134
41,80,Female,7,95.9,70.0,30.7,100.1,33.4,1.5,0,Desiree Contreras,william68@example.net,596-42-4368,247-402-9218x588,"3599 Alvarez Loop, Ericksonport, VI 30109",1988-09-06,4276931685432606
42,36,Male,11,184.1,94.2,46.3,139.1,41.7,1.35,1,Stacy Mcintosh,yandrews@example.org,786-93-8939,424-775-1384x76651,"22254 Steven Harbor Suite 914, New Maria, HI 61277",1967-11-07,574177127788
43,35,Female,11,166.0,81.9,42.2,172.3,43.1,0.89,0,Jason Atkins,mkirby@example.com,875-27-4674,001-657-888-2206x2780,"83110 Smith Pike Apt. 751, Lake Brianna, DC 20000",1983-05-27,36205016134556
44,67,Male,8,71.8,83.7,12.6,272.3,32.3,1.4,0,Rebecca Reynolds,matthewclark@example.org,956-98-9665,001-964-890-3224x63011,"8975 Kane Spring Apt. 312, Smithville, OR 48625",1962-05-22,349017926427935
45,71,Female,3,102.3,103.0,37.7,259.8,38.4,2.4,1,Anthony Johnson,wesley28@example.net,857-92-3463,828-220-9496x46952,"070 Christopher Path, North Danielfort, UT 53487",1963-04-30,3500236731518188
46,64,Male,4,97.9,69.7,32.9,240.0,29.9,0.59,1,Kathleen Hodges,sarahmiller@example.net,444-91-9054,(994)949-0662,"8471 Bennett Village, Lindsaybury, TN 01699",1976-04-30,060485177152
47,75,Male,4,105.2,72.3,46.3,247.1,38.1,1.67,1,Heather Cox,martinmatthew@example.com,694-19-4832,262-639-2371x8601,"609 David Estate, Weaverton, WY 09014",1984-03-31,4433102466120033831
48,72,Female,7,102.2,114.7,14.9,137.1,23.5,0.2,0,Lisa Moyer,lloydkristina@example.com,910-21-1011,488-344-4124x430,"6440 Darryl Meadows Suite 385, East Tom, FM 42120",2000-03-17,30066719936721
49,77,Male,6,78.1,53.9,31.4,186.6,28.0,0.26,1,Kelly Murray DDS,scottmichael@example.com,448-21-2003,(858)859-8197x5192,"34294 Jason Turnpike, Nicholasbury, IA 96307",1995-07-25,2717792769534993
50,23,Female,8,129.7,84.0,45.2,248.6,35.1,1.42,0,Jeffrey Watson,leslieherrera@example.com,957-91-9442,2308290919,"501 Brady Inlet, Larsenfort, KY 82387",1949-12-26,639026238746
51,57,Female,14,165.3,113.9,26.4,117.6,18.5,0.35,1,Regina Barnes,gregorymanning@example.com,714-41-7863,308-327-8792x0834,"263 Daniel Lodge Apt. 158, East Kayla, RI 47318",1946-02-24,630436772887
52,71,Male,14,148.9,92.7,29.3,266.0,37.5,0.15,1,Joshua Powell,icochran@example.com,543-77-8387,503-493-7680,"9306 Bailey Bridge, Smithberg, PR 05103",1937-07-01,501864654550
53,27,Male,15,157.5,88.2,12.8,123.5,40.6,0.51,0,Derrick Johnson,bobbywalton@example.com,322-40-3203,001-539-744-6050x61747,"253 Bryan Loaf Apt. 734, Millerstad, RI 38682",1961-09-23,30141279173880
54,41,Female,13,80.5,67.5,21.1,171.9,28.8,1.46,0,Michael Cooper,marcia79@example.com,485-96-7727,001-872-443-8412x20559,"0876 Bartlett Corners Suite 689, New Sheila, GA 53735",1992-07-07,4357852472402218
55,29,Male,7,193.7,74.0,23.0,200.3,30.1,1.79,0,Brian Hahn,tcopeland@example.org,781-83-7228,553.863.7350x14294,"60442 Mccall Courts, Port Cynthia, NH 46119",1959-10-11,213174972941880
56,59,Male,1,179.0,109.6,47.8,263.1,41.0,0.59,0,Sandra Swanson,thorntonbenjamin@example.net,911-37-7717,253-588-8010,"44591 Richard Island, Port Craig, SD 29977",1971-04-20,676225953642
57,38,Male,9,174.7,89.1,21.3,78.8,38.9,1.7,0,Tammy Hartman,alex36@example.org,221-38-7036,001-873-681-2275x031,"7259 Douglas Turnpike Apt. 927, West Thomas, NY 23972",1943-01-26,30478668298450
58,24,Male,11,177.0,86.0,28.4,209.7,25.8,0.54,0,Terri Young,qbrown@example.org,162-54-4821,+1-920-848-2662x96747,"6636 Guerrero Crossing, South Calvin, CO 76418",1941-12-06,4797442178490424
59,45,Male,3,191.3,57.0,36.9,150.9,26.7,1.57,1,Matthew Porter,vprice@example.com,320-75-5856,790.718.4918x0672,"90314 Makayla Greens Apt. 671, Lake Susan, VT 86377",1937-10-12,4014766585228358
60,80,Female,5,140.8,51.1,16.5,85.1,36.3,1.09,0,Cheryl Martin,kevin21@example.com,167-91-8442,4885977837,"1417 James Point, New Daniel, NH 29241",1991-04-14,6521390328865391
61,34,Female,11,96.0,117.5,29.5,217.7,33.2,1.67,0,Nicole Peterson,barbara45@example.org,283-45-1803,5465159959,"USCGC Hahn, FPO AA 59854",1966-09-16,3589409778873022
62,70,Male,1,150.2,76.4,39.5,159.1,22.4,2.49,1,Steven Shaw,andersonjoshua@example.org,202-77-9780,(885)271-6934,"3713 Lisa Land Suite 251, Port Destinyton, AK 52333",1983-03-19,6011188735278043
63,78,Male,6,166.6,92.2,44.7,187.5,26.4,2.35,0,Stephanie Mercado MD,vincent13@example.net,490-42-2011,991-708-1401x4774,"69449 Santiago Haven, Pattonfurt, DC 19669",1944-12-12,4913710475444727
64,29,Male,15,165.9,55.6,35.1,99.3,42.3,0.11,0,Kevin Coleman,ambercarter@example.com,855-81-7812,961-392-1890,"157 Ryan Streets Apt. 549, West Patriciaport, AK 99550",1980-11-19,3529539240144918
65,46,Female,2,137.8,97.8,36.8,140.6,36.6,2.23,1,Ana Smith,jshort@example.com,957-44-1926,648.527.1411x4290,"85295 Moreno Neck Apt. 662, South Reneeview, WV 92529",1966-01-12,6501195389576264
66,73,Male,12,78.9,115.3,15.1,176.1,44.6,0.26,1,Alicia Walters,nmercado@example.net,611-58-1826,322-938-5435,"PSC 5148, Box 4397, APO AA 34246",1964-02-28,3519729416583625
67,22,Female,2,118.2,90.3,47.8,120.7,38.7,2.39,1,Laura Hodge,gsaunders@example.com,294-39-2004,(631)961-8580x2377,"3408 Johnson Grove Apt. 709, East Timothy, AL 67918",1975-07-12,3576990548568278
68,40,Female,10,189.7,58.8,15.3,66.8,43.4,0.78,0,Brian Thompson DDS,rebeccabecker@example.net,533-87-7228,242.455.3800,"1302 Edward Islands Suite 406, Kevinland, MO 10212",1955-10-06,4158958580369
69,48,Female,1,146.0,90.7,41.0,266.0,23.8,1.02,1,Michele Garcia,aford@example.com,682-59-7321,001-679-497-1631x990,"9387 Watts Lane Apt. 704, Webbburgh, VA 14804",1965-06-24,4913873301766
70,67,Male,10,140.0,103.6,20.6,148.5,38.8,0.32,0,Makayla Keller,scott41@example.net,188-75-6175,(448)440-4401x79876,"44735 Matthews Point, North Ryanborough, NV 74347",1974-02-05,30203908449188
71,80,Female,7,105.0,78.4,47.3,206.6,18.5,0.37,1,Courtney Ramos,anthonymoore@example.net,178-77-8168,(296)972-6595,"356 Fields Center Apt. 250, Phyllismouth, IL 73842",1953-09-19,3590358050835463
72,27,Male,5,117.9,111.6,38.8,122.3,36.1,1.84,0,Mary Conley,brian64@example.com,769-71-4422,(941)302-3783x3202,"PSC 6854, Box 3226, APO AP 35438",1995-10-25,4796803313530980767
73,64,Female,0,186.4,95.4,40.2,107.7,30.7,2.37,1,Michelle Woods,edwardsjohn@example.net,749-20-6033,(617)290-6799x764,"USS Lee, FPO AA 97080",1947-10-06,4437949160729128
74,28,Male,11,156.6,112.9,18.8,121.3,27.4,1.57,1,Hannah Graves,adamslaura@example.net,220-66-9132,001-675-478-3471x12251,"1736 Allison Cove, New Amandafort, PW 37646",1995-07-22,4858041290305631553
75,67,Female,0,172.4,93.6,27.7,121.8,41.3,1.82,1,Kimberly Mendez,martinebony@example.net,328-97-5876,994.321.2351,"6443 Phillips Ramp Apt. 137, Rachaelville, NH 40835",1986-01-22,2272337044256165
76,55,Male,6,129.1,59.2,34.7,157.0,41.1,1.93,0,Maria Coleman,patricia68@example.com,973-59-3210,001-453-767-4789x8380,"12657 Ali Gardens, Lake James, WA 75609",1948-05-12,4688769384840550
77,34,Female,15,151.9,71.7,40.8,156.8,18.6,0.73,0,Andrew Morrison,rodriguezdavid@example.net,846-59-6021,235.752.8249x5009,"7973 Paul Mountain Apt. 297, Huangchester, SD 59982",1938-01-08,4239123390804883
78,37,Male,7,102.3,64.1,14.2,144.8,34.5,0.21,1,Allison Watts,jsmith@example.org,179-54-1891,+1-465-526-9422x8085,"5139 Ramirez Junction, Michellehaven, CO 16231",1955-05-16,4485240784615070263
79,56,Male,4,161.7,113.6,48.5,50.2,27.9,0.1,1,David Guerra,xhill@example.net,404-90-5203,+1-466-441-7826x17448,"PSC 9354, Box 9658, APO AA 60622",1981-05-24,060490479072
80,70,Male,15,125.6,103.2,45.6,144.5,29.2,0.94,1,Nathan Howard,jessicafriedman@example.net,508-92-2224,(847)561-6741,"16655 Lacey Place Apt. 993, Lake Alexander, HI 78226",1992-01-08,4669480416750352
81,60,Male,11,127.5,97.3,20.8,59.1,40.5,0.68,1,Candice Collins,pcardenas@example.net,486-79-7401,949.596.3226,"2895 Green Greens Apt. 680, East Heather, IN 36892",2001-03-31,30013458624134
82,24,Female,15,154.4,71.1,42.9,47.9,26.4,0.25,0,William Winters,frank94@example.com,201-97-6019,001-579-278-8408,"13585 Jacob Alley Suite 265, Hoovermouth, PR 33364",1991-03-28,38014763198493
83,22,Female,10,191.7,62.9,30.7,258.4,43.5,0.53,1,Michael Hoffman,austinclayton@example.com,665-95-5254,632.910.2522x157,"142 Kyle Groves, South Angela, MO 54978",1998-12-23,6011884653274242
84,26,Male,4,78.3,103.0,28.5,172.9,22.9,0.4,1,Andre West,krich@example.com,297-60-8771,+1-502-682-0528x867,"46968 Mathews Plains, Lake Alicia, IA 07967",1935-01-23,4506133638413
85,74,Female,3,177.2,83.2,22.6,187.1,35.9,2.3,0,Eric Yang,mrivera@example.net,101-28-3529,+1-565-338-4260x6361,"4609 Stacey Drive Suite 204, Jenniferchester, CA 01404",1986-12-04,4857754071701047
86,62,Male,13,108.0,65.8,33.2,119.9,36.1,0.44,0,Brian Adkins,tbrown@example.com,635-15-2384,831-567-7887,"700 Matthew Drives, Maysland, TN 22957",1969-10-08,349139216062493
87,24,Male,5,127.7,93.2,39.2,252.2,24.8,1.39,1,Jason Daniel,breanna24@example.com,790-76-4650,+1-537-448-3658x2134,"79344 Valenzuela Run, Maryton, NV 67361",1983-01-13,38234375606994
88,74,Female,13,72.8,52.8,26.4,181.5,26.8,1.52,1,Andrew King,jthomas@example.net,856-76-5482,281.789.1627x828,"2228 Neal Lock Apt. 121, East Danielburgh, ND 14847",2004-02-04,2335985107853297
89,49,Male,5,109.1,72.8,35.2,215.8,40.5,1.4,0,Mario Rice,hopkinsjulie@example.org,173-30-5690,001-654-755-8169x735,"89376 Steven Mills Suite 199, Courtneyberg, MN 28826",1949-03-23,180010916061287
90,38,Male,2,135.3,82.8,38.0,111.2,38.6,0.34,0,Ronald Johnson,ukim@example.net,481-64-5865,295-274-0742,"3124 Reyes Road, Dustinstad, WV 83418",1971-01-25,4990914090892933965
91,46,Female,15,77.3,60.4,38.4,265.6,26.9,0.87,1,Brittany Hammond,christopher97@example.com,291-89-5128,704.559.9041x62913,"058 Maurice Ports, New Chelseafurt, ID 08302",1967-05-24,3532675750699779
92,64,Male,8,133.8,118.9,12.1,229.1,32.4,0.22,0,Heather Calderon,fdean@example.com,533-34-9734,996.688.9326,"778 Carpenter Mountains, New Jennifermouth, OR 73854",2007-04-13,5508882800693266
93,54,Male,11,190.5,64.6,44.4,237.9,19.7,1.05,0,Emily Campbell,walterskevin@example.net,344-64-3610,830-454-4782,"496 Holmes Springs Suite 403, Davidsonchester, MI 03360",1973-12-08,3512954754832072
94,30,Male,10,83.7,59.1,28.3,59.9,23.6,0.55,1,Samuel Gonzales,uclark@example.org,575-88-2378,+1-702-264-2945x131,"6036 Smith Prairie, Valdezberg, PA 54347",1961-02-20,6579056375134889
95,56,Male,13,169.4,64.2,20.5,85.7,31.1,1.45,1,Dennis Fletcher,rhanna@example.org,716-85-5113,001-393-620-2983x670,"2021 Adams Branch, Nealmouth, ME 41795",1969-01-07,676264197648
96,34,Female,6,123.3,103.8,19.7,89.5,20.3,1.76,0,April Smith,dramirez@example.org,401-90-2581,001-782-833-4775x33036,"402 Troy Terrace, Woodsmouth, SD 30982",1981-10-27,213155384962630
97,51,Female,15,155.2,79.8,29.3,85.7,40.8,1.38,1,Elizabeth Mullins,michaelbrady@example.com,995-36-4762,391.600.0665,"2548 Anthony Neck, Vanceborough, ND 56953",1965-10-14,4463086503639870134
98,68,Female,0,103.8,89.6,45.5,238.3,37.4,1.14,1,Sean Dudley,louis85@example.com,637-93-8109,(553)663-4445,"36354 Barbara Locks, West Nathan, MN 04255",1991-11-16,4659804184945294
99,35,Male,14,90.7,51.5,25.1,23.3,43.5,1.03,1,Jennifer Maynard,laura45@example.net,716-49-4160,+1-927-339-6820x8684,"08110 Jacobs Via, Kingville, CO 33730",1951-11-04,6011760115708011
100,28,Male,12,90.9,52.4,40.0,34.9,36.7,2.12,1,Vernon Thompson,dustin48@example.net,233-76-2548,001-570-343-0296x647,"892 David Mission Apt. 727, West Valerie, CA 29254",1981-12-31,180031382987052
101,34,Female,6,79.2,81.2,13.9,86.5,43.4,0.63,1,Dawn Lindsey MD,patelgeorge@example.com,357-28-6178,001-923-898-5888,"70505 Darlene Manor Suite 600, Johnstonport, PR 59905",1994-10-08,6515505444840980
102,43,Male,4,94.1,107.2,29.0,67.2,33.0,1.86,0,John Jones,medinakimberly@example.com,146-14-7318,562-831-4752,"485 Richard Club Apt. 872, East Krystalmouth, FM 55678",2003-04-24,3549539645681577
103,80,Male,4,156.3,112.0,49.7,75.5,34.2,1.92,0,Amy Osborne,jason98@example.com,633-76-8023,985-553-6799,"79217 Michele Fork Suite 146, Lake Jessicamouth, WY 16936",1946-10-19,213151775786522
104,77,Male,13,184.6,56.1,40.8,223.3,44.4,1.11,1,David Mueller,kellyvaughn@example.com,311-60-7408,+1-575-584-6378x8935,"Unit 1290 Box 3033, DPO AA 55087",1964-03-24,30518024061512
105,60,Male,12,175.8,87.7,18.4,162.0,35.3,0.81,1,Michael Pierce,foxpamela@example.net,584-98-7488,246-228-7437,"706 Melissa Garden Suite 310, South Melissafort, NC 66916",1943-04-20,4982733844841999
106,41,Female,1,159.1,113.9,30.1,16.5,18.8,1.23,1,Eric Cox,daniel53@example.com,501-94-5749,001-754-215-6499x579,"9988 Charles Land, East Claireport, HI 57692",1943-10-08,4643377132337418
107,36,Female,3,84.4,77.2,19.3,127.1,37.5,0.32,0,Larry Johnson,gregory91@example.com,563-66-3414,407.631.1862,"USNS Sanchez, FPO AA 16797",1953-08-20,180008761138267
108,65,Female,11,107.6,108.1,26.4,121.5,42.4,0.21,0,Connor Parsons,veronica03@example.net,862-67-6524,502.633.5830x83781,"878 Martinez Expressway, Lake Ryanville, ID 64056",1973-08-22,4734499316474328
109,38,Male,5,110.3,59.4,41.2,44.7,39.5,0.37,0,Sergio Franklin,martinezelizabeth@example.com,519-91-7616,490.352.0294x35482,"667 Sanders Way, Jonesside, CA 59704",1994-06-20,3576615894165771
110,67,Female,9,102.5,115.5,40.8,191.5,33.8,0.55,0,Steven Smith,ucollins@example.net,542-10-1334,675-479-1022,"2154 Patterson Keys Apt. 013, Kimberlyside, MT 70478",1935-09-20,371729006670116
111,73,Female,14,137.0,102.6,19.1,198.2,36.1,1.31,1,Bradley Kelly,obell@example.net,395-77-5014,548.278.9058x22740,"9099 Alan Isle, Gonzalezport, NH 64708",1967-10-12,4783992597539783748
112,44,Male,10,139.6,115.9,46.9,203.2,44.7,2.14,1,Daniel Reynolds,kevin33@example.org,682-33-1727,9377591238,"809 Day Dam Suite 711, Grayside, MI 39424",1981-11-02,2233389878994054
113,46,Male,6,116.4,97.4,33.7,205.1,20.4,0.67,0,Omar Newman,owatson@example.org,897-47-7145,(589)957-9800x71744,"42561 James Meadow, Santiagoshire, WI 81607",1995-06-21,3537304326862127
114,45,Female,15,116.0,75.4,25.2,15.0,36.0,2.34,0,Kevin Hoover,matthew27@example.org,940-90-5747,001-643-457-8290x250,"0056 Lindsey Walk, South Kendraland, OR 25291",1976-04-03,4614649232786
115,80,Female,10,177.7,115.7,30.1,264.0,25.7,2.39,1,Greg Elliott,wmyers@example.net,303-56-1545,+1-458-289-1761x00587,"05031 Young Stream, Scotttown, NH 66414",1957-06-13,4599211434417
116,80,Female,4,172.6,69.3,34.2,227.5,35.3,2.4,1,Paul Peters,benjamingarza@example.com,406-64-5644,(748)353-8323x528,"7969 Lori Club Apt. 543, North Stacie, VT 74575",1980-08-04,3526900078559887
117,80,Female,8,110.0,73.3,32.4,250.9,34.4,2.11,1,Julie Johnson,edward16@example.org,536-63-7685,+1-652-210-8934,"3206 Juan Viaduct, West Mercedes, CA 87216",1960-11-13,6011333787319812
118,65,Male,2,188.8,99.1,29.5,19.1,22.1,0.97,1,Gregory Meyers,christopherwright@example.org,583-19-4345,+1-571-599-9644x85777,"32151 Lisa Key, Lake Philip, LA 02131",1987-08-06,213138944042093
119,61,Female,0,193.9,103.6,30.2,258.7,23.6,0.27,1,John Clark,kfernandez@example.org,181-45-2116,+1-423-326-1798x6052,"934 Jerry Mountains Suite 238, New Ashley, WA 85462",1965-04-27,213117188350081
120,49,Female,3,112.5,115.1,17.1,226.4,34.8,1.47,0,Daniel Miller,hayeskathryn@example.net,658-81-9098,(453)382-7973x54632,"411 Denise Shoals, North Ryanland, GU 96223",1991-08-28,3594541224789601
121,35,Male,8,116.1,64.3,42.5,233.5,21.5,1.44,1,Lance Nolan,rachel11@example.org,636-75-1284,001-836-715-6664x322,"03305 Jeffrey Square, Kathleenberg, NC 19586",1959-04-04,4838747769983921
122,65,Female,3,135.7,105.9,31.7,39.3,25.2,2.14,0,Lauren Watkins,welchnancy@example.net,365-74-3181,+1-970-875-8682x28269,"7378 Wright Village, Justinmouth, AZ 66625",1993-09-02,3586898207931455
123,21,Male,1,192.3,101.7,15.2,207.8,40.6,2.49,0,Brent Strong,devin37@example.com,663-92-7273,461-806-0132,"42966 Tamara Curve Apt. 356, West Christophershire, GA 00829",1996-04-24,4724615505809204
124,45,Male,9,183.9,54.5,40.6,265.5,26.8,1.32,1,John Johnson,ygates@example.com,450-29-3547,(455)723-2602x95840,"79093 Williams Haven Suite 523, Michaelchester, ID 86976",1971-02-12,372871987621574
125,27,Male,13,83.3,77.1,47.3,192.1,31.2,0.93,0,Kristie Gonzalez,carterstephanie@example.com,930-66-9679,(364)643-4782,"8815 Kayla Port, Raymondfurt, ME 55924",1976-10-12,3543262631164476
126,29,Female,13,121.1,69.8,47.9,163.9,43.4,0.55,0,Nicole Frederick,jennifer68@example.com,660-40-5743,001-228-983-5395x2849,"02336 Noble Point Suite 999, Henrystad, MS 35147",1964-05-18,4271671509423
